question
"I never get angry, even when someone treats me badly"
"I have never cheated on a test"
"I have never said anything negative about someone behind their back"
"I always follow the rules, even when no one is watching"
"I have never felt envious of someone else's good fortune"
"I have never told a lie, even for a good reason"
"I always help others, even when it requires personal sacrifice"
"I have never taken advantage of anyone, even in small ways"
"I have never had unkind or bad thoughts about anyone"
"If I make a mistake, I am always the first to admit it without making excuses"
